;A;Err;Omega;Err;;
1;0,295948;0,000571;3,646193;0,000197;;
2;0,279854;0,000667;3,649233;0,000348;;
3;0,247555;0,000694;3,657116;0,000450;;
4;0,231054;0,000679;3,661432;0,000444;;
5;0,223349;0,000611;3,661424;0,000408;;
6;0,178673;0,000597;3,669895;0,000542;;
7;0,134473;0,000583;3,675609;0,000697;;
8;0,115078;0,000573;3,677046;0,000845;;
9;0,089636;0,000595;3,679781;0,001007;;
10;0,056062;0,000522;3,680957;0,001563;;
11;0,038115;0,000560;3,689186;0,002304;;
12;0,016253;0,000538;3,684784;0,005231;;
